payment_intent_id,event_id,ticket_type,gross_amount,fee_amount,tax_amount,discount_amount,net_amount,currency,status,is_refund,refers_payment_intent_id,created_ts
pi_618377826,1119,Student,16.48,0.88,0.82,0.0,15.6,CAD,captured,0,,2025-09-10T17:50:00
pi_778680249,1119,General,27.06,1.25,1.35,0.0,25.81,CAD,captured,0,,2025-09-11T15:17:00
pi_599639308,1119,Student,16.58,0.88,0.83,0.0,15.7,CAD,captured,0,,2025-08-30T23:27:00
pi_125485181,1119,General,25.5,1.19,1.28,0.0,24.31,CAD,captured,0,,2025-09-07T02:30:00
pi_793425238,1119,General,23.96,1.14,1.2,0.0,22.82,CAD,captured,0,,2025-09-07T19:21:00
pi_201028765,1119,Student,13.63,0.78,0.68,0.0,12.85,CAD,captured,0,,2025-09-14T11:35:00
pi_631757749,1119,General,22.38,1.08,1.12,0.0,21.3,CAD,captured,0,,2025-09-05T17:13:00
pi_875402702,1119,VIP,58.19,2.34,2.91,0.0,55.85,CAD,captured,0,,2025-08-31T09:29:00
pi_877156613,1119,VIP,63.1,2.51,3.15,0.0,60.59,CAD,captured,0,,2025-09-07T22:37:00
pi_642887966,1119,VIP,62.87,2.5,3.14,9.43,50.94,CAD,captured,0,,2025-09-09T12:13:00
pi_595853299,1119,Senior,16.5,0.88,0.82,0.0,15.62,CAD,captured,0,,2025-09-12T07:53:00
pi_898142646,1119,VIP,60.92,2.43,3.05,0.0,58.49,CAD,captured,0,,2025-08-31T03:11:00
pi_397664526,1119,Senior,17.44,0.91,0.87,0.0,16.53,CAD,captured,0,,2025-09-01T06:42:00
pi_920395361,1119,Student,13.79,0.78,0.69,0.0,13.01,CAD,captured,0,,2025-09-16T04:14:00
pi_248459604,1119,General,28.22,1.29,1.41,0.0,26.93,CAD,captured,0,,2025-09-13T09:22:00
pi_761701378,1119,General,22.26,1.08,1.11,0.0,21.18,CAD,captured,0,,2025-09-02T05:37:00
pi_124026885,1119,Student,16.69,0.88,0.83,0.0,15.81,CAD,captured,0,,2025-09-16T15:37:00
pi_530031901,1119,Senior,16.18,0.87,0.81,0.0,15.31,CAD,captured,0,,2025-09-17T05:06:00
pi_250000888,1119,General,25.49,1.19,1.27,0.0,24.3,CAD,captured,0,,2025-09-16T14:30:00
pi_867961900,1119,Student,17.16,0.9,0.86,0.0,16.26,CAD,captured,0,,2025-09-11T08:28:00
pi_154228280,1119,General,25.52,1.19,1.28,0.0,24.33,CAD,captured,0,,2025-09-11T08:50:00
pi_670382706,1119,Senior,18.99,0.96,0.95,2.85,15.18,CAD,captured,0,,2025-09-15T18:17:00
pi_308010473,1119,VIP,57.37,2.31,2.87,0.0,55.06,CAD,captured,0,,2025-09-18T07:59:00
pi_481596484,1119,Student,12.93,0.75,0.65,0.0,12.18,CAD,captured,0,,2025-09-17T13:39:00
pi_208611004,1119,VIP,63.15,2.51,3.16,0.0,60.64,CAD,captured,0,,2025-09-12T15:16:00
pi_455537906,1119,Student,16.24,0.87,0.81,0.0,15.37,CAD,captured,0,,2025-09-08T07:51:00
pi_632323281,1119,General,24.3,1.15,1.22,0.0,23.15,CAD,captured,0,,2025-09-10T17:18:00
pi_377886162,1119,Senior,15.9,0.86,0.79,0.0,15.04,CAD,captured,0,,2025-09-12T06:45:00
pi_504548743,1119,General,24.24,1.15,1.21,0.0,23.09,CAD,captured,0,,2025-09-08T21:36:00
pi_886181673,1119,Student,16.0,0.86,0.8,0.0,15.14,CAD,captured,0,,2025-09-12T14:42:00
pi_419388876,1119,General,25.1,1.18,1.26,3.77,20.15,CAD,captured,0,,2025-09-17T15:30:00
pi_546162637,1119,VIP,59.37,2.38,2.97,0.0,56.99,CAD,captured,0,,2025-09-04T08:34:00
pi_143579637,1119,Student,20.98,1.03,1.05,0.0,19.95,CAD,captured,0,,2025-09-03T18:28:00
pi_389305937,1119,Student,15.19,0.83,0.76,0.0,14.36,CAD,captured,0,,2025-09-10T14:20:00
pi_381281997,1119,Senior,14.2,0.8,0.71,0.0,13.4,CAD,captured,0,,2025-09-02T14:06:00
pi_172310282,1119,Student,15.4,0.84,0.77,0.0,14.56,CAD,captured,0,,2025-09-04T02:42:00
pi_995488383,1119,Student,0.0,0.0,0.0,0.0,-14.55,CAD,refunded,1,pi_199764453,2025-09-15T15:00:00
pi_207800266,1119,VIP,61.78,2.46,3.09,0.0,59.32,CAD,captured,0,,2025-09-01T02:37:00
pi_668309902,1119,Student,17.92,0.93,0.9,0.0,16.99,CAD,captured,0,,2025-09-16T06:16:00
pi_652221768,1119,Senior,17.99,0.93,0.9,0.0,17.06,CAD,captured,0,,2025-09-10T01:17:00
pi_240939180,1119,VIP,61.85,2.46,3.09,0.0,59.39,CAD,captured,0,,2025-09-05T05:13:00
pi_525034543,1119,General,29.04,1.32,1.45,0.0,27.72,CAD,captured,0,,2025-09-13T11:03:00
pi_660183867,1119,Student,15.9,0.86,0.8,0.0,15.04,CAD,captured,0,,2025-09-05T03:28:00
pi_176949981,1119,VIP,62.67,2.49,3.13,0.0,60.18,CAD,captured,0,,2025-09-13T04:13:00
pi_510370096,1119,Student,16.96,0.89,0.85,0.0,16.07,CAD,captured,0,,2025-09-18T18:35:00
pi_938250684,1119,Student,16.43,0.87,0.82,0.0,15.56,CAD,captured,0,,2025-09-11T09:57:00
pi_502749064,1119,Student,14.9,0.82,0.75,0.0,14.08,CAD,captured,0,,2025-09-12T11:50:00
pi_732717724,1119,VIP,62.03,2.47,3.1,0.0,59.56,CAD,captured,0,,2025-09-06T02:25:00
pi_630513649,1119,VIP,60.25,2.41,3.01,0.0,57.84,CAD,captured,0,,2025-09-06T17:35:00
pi_817591340,1119,Senior,18.57,0.95,0.93,0.0,17.62,CAD,captured,0,,2025-09-01T09:14:00
pi_874056613,1119,Student,17.41,0.91,0.87,0.0,16.5,CAD,captured,0,,2025-09-09T07:09:00
pi_384644851,1119,VIP,61.35,2.45,3.07,9.2,49.7,CAD,captured,0,,2025-09-15T03:31:00
pi_194020301,1119,VIP,58.57,2.35,2.93,0.0,56.22,CAD,captured,0,,2025-09-08T03:41:00
pi_535092555,1119,General,24.16,1.15,1.21,0.0,23.01,CAD,captured,0,,2025-09-05T08:09:00
pi_641585878,1119,General,25.58,1.2,1.28,0.0,24.38,CAD,captured,0,,2025-09-02T12:20:00
pi_217220683,1119,VIP,61.53,2.45,3.08,0.0,59.08,CAD,captured,0,,2025-09-14T22:25:00
pi_376250396,1119,Senior,18.35,0.94,0.92,0.0,17.41,CAD,captured,0,,2025-09-08T15:24:00
pi_509832789,1119,VIP,57.72,2.32,2.89,0.0,55.4,CAD,captured,0,,2025-09-06T08:20:00
pi_395745194,1119,Student,10.17,0.66,0.51,0.0,9.51,CAD,captured,0,,2025-09-08T17:38:00
pi_871561333,1119,Senior,20.58,1.02,1.03,0.0,19.56,CAD,captured,0,,2025-09-01T14:03:00
pi_669579530,1119,General,26.11,1.21,1.31,0.0,24.9,CAD,captured,0,,2025-09-10T07:29:00
pi_478927007,1119,VIP,57.3,2.31,2.86,0.0,54.99,CAD,captured,0,,2025-09-16T05:51:00
pi_156788367,1119,Senior,0.0,0.0,0.0,0.0,-16.17,CAD,refunded,1,pi_359224570,2025-09-08T23:07:00
pi_133847785,1119,Senior,15.4,0.84,0.77,2.31,12.25,CAD,captured,0,,2025-09-07T01:30:00
pi_714685118,1119,Senior,16.44,0.88,0.82,0.0,15.56,CAD,captured,0,,2025-09-08T07:03:00
pi_509316525,1119,General,26.72,1.24,1.34,0.0,25.48,CAD,captured,0,,2025-09-03T01:27:00
pi_355183390,1119,General,22.88,1.1,1.14,3.43,18.35,CAD,captured,0,,2025-09-16T02:09:00
pi_572867355,1119,Senior,18.05,0.93,0.9,0.0,17.12,CAD,captured,0,,2025-09-06T19:05:00
pi_544161919,1119,VIP,56.3,2.27,2.81,0.0,54.03,CAD,captured,0,,2025-09-08T05:04:00
pi_607718132,1119,Senior,15.31,0.84,0.77,2.3,12.17,CAD,captured,0,,2025-09-17T04:43:00
pi_545245830,1119,Senior,20.6,1.02,1.03,0.0,19.58,CAD,captured,0,,2025-09-13T18:52:00
pi_129849008,1119,General,24.16,1.15,1.21,3.62,19.39,CAD,captured,0,,2025-09-06T22:55:00
pi_145484643,1119,VIP,0.0,0.0,0.0,0.0,-47.71,CAD,refunded,1,pi_655592710,2025-09-02T20:49:00
pi_597437242,1119,General,27.99,1.28,1.4,0.0,26.71,CAD,captured,0,,2025-09-16T00:50:00
pi_463189977,1120,VIP,58.29,2.34,2.91,0.0,55.95,CAD,captured,0,,2025-09-05T12:38:00
pi_463978527,1120,Student,15.34,0.84,0.77,2.3,12.2,CAD,captured,0,,2025-09-01T16:54:00
pi_200670393,1120,Student,15.13,0.83,0.76,0.0,14.3,CAD,captured,0,,2025-09-12T18:16:00
pi_548230496,1120,VIP,60.82,2.43,3.04,9.12,49.27,CAD,captured,0,,2025-09-16T23:38:00
pi_737756378,1120,Senior,20.06,1.0,1.0,0.0,19.06,CAD,captured,0,,2025-09-05T17:00:00
pi_463871408,1120,General,24.22,1.15,1.21,0.0,23.07,CAD,captured,0,,2025-09-17T05:02:00
pi_941203436,1120,General,25.85,1.2,1.29,3.88,20.77,CAD,captured,0,,2025-09-18T05:59:00
pi_668736916,1120,VIP,58.11,2.33,2.91,0.0,55.78,CAD,captured,0,,2025-09-02T12:06:00
pi_750852874,1120,Senior,17.56,0.91,0.88,0.0,16.65,CAD,captured,0,,2025-09-03T20:44:00
pi_171005642,1120,Senior,15.31,0.84,0.77,0.0,14.47,CAD,captured,0,,2025-09-09T15:40:00
pi_563582599,1120,Senior,19.94,1.0,1.0,0.0,18.94,CAD,captured,0,,2025-09-04T01:32:00
pi_545922167,1120,Student,16.34,0.87,0.82,0.0,15.47,CAD,captured,0,,2025-09-04T16:06:00
pi_700592948,1120,VIP,60.51,2.42,3.03,9.08,49.01,CAD,captured,0,,2025-09-17T18:01:00
pi_351018783,1120,General,24.14,1.14,1.21,0.0,23.0,CAD,captured,0,,2025-09-13T04:44:00
pi_179193192,1120,Student,15.2,0.83,0.76,0.0,14.37,CAD,captured,0,,2025-09-09T05:24:00
pi_801949214,1120,Student,13.75,0.78,0.69,0.0,12.97,CAD,captured,0,,2025-09-09T05:47:00
pi_356642763,1120,Senior,17.73,0.92,0.89,2.66,14.15,CAD,captured,0,,2025-09-07T00:13:00
pi_405817944,1120,General,27.79,1.27,1.39,0.0,26.52,CAD,captured,0,,2025-09-08T10:04:00
pi_759316313,1120,General,22.09,1.07,1.1,0.0,21.02,CAD,captured,0,,2025-09-14T05:31:00
pi_177649540,1120,Student,14.59,0.81,0.73,2.19,11.59,CAD,captured,0,,2025-09-12T20:00:00
pi_430201992,1120,Senior,19.1,0.97,0.96,0.0,18.13,CAD,captured,0,,2025-09-14T01:42:00
pi_958125274,1120,General,21.07,1.04,1.05,0.0,20.03,CAD,captured,0,,2025-09-10T13:03:00
pi_321671523,1120,VIP,59.25,2.37,2.96,0.0,56.88,CAD,captured,0,,2025-09-11T12:49:00
pi_936385562,1120,Senior,18.8,0.96,0.94,0.0,17.84,CAD,captured,0,,2025-09-07T10:06:00
pi_799667957,1120,Senior,18.74,0.96,0.94,0.0,17.78,CAD,captured,0,,2025-09-04T02:28:00
pi_912107253,1120,VIP,58.63,2.35,2.93,0.0,56.28,CAD,captured,0,,2025-09-19T01:05:00
pi_599399607,1120,General,29.85,1.34,1.49,0.0,28.51,CAD,captured,0,,2025-09-11T14:42:00
pi_174401338,1120,Student,13.56,0.77,0.68,2.03,10.76,CAD,captured,0,,2025-09-15T22:35:00
pi_364975513,1120,VIP,61.32,2.45,3.07,0.0,58.87,CAD,captured,0,,2025-09-09T08:22:00
pi_687792500,1120,VIP,63.17,2.51,3.16,9.48,51.18,CAD,captured,0,,2025-09-11T06:14:00
pi_162007898,1120,General,23.07,1.11,1.15,0.0,21.96,CAD,captured,0,,2025-09-19T01:31:00
pi_795103390,1120,VIP,56.67,2.28,2.83,0.0,54.39,CAD,captured,0,,2025-09-09T09:11:00
pi_972404047,1120,Student,18.96,0.96,0.95,0.0,18.0,CAD,captured,0,,2025-09-10T14:33:00
pi_668749856,1120,Senior,18.91,0.96,0.95,2.84,15.11,CAD,captured,0,,2025-09-04T07:53:00
pi_255131317,1120,Student,15.33,0.84,0.77,0.0,14.49,CAD,captured,0,,2025-09-11T10:25:00
pi_558971399,1120,VIP,59.84,2.39,2.99,0.0,57.45,CAD,captured,0,,2025-09-09T18:23:00
pi_813924703,1120,Student,0.0,0.0,0.0,0.0,-15.95,CAD,refunded,1,pi_655114522,2025-09-02T18:35:00
pi_466608563,1120,Senior,20.3,1.01,1.02,0.0,19.29,CAD,captured,0,,2025-09-03T19:32:00
pi_582755469,1120,Senior,18.02,0.93,0.9,0.0,17.09,CAD,captured,0,,2025-09-14T16:24:00
pi_569284528,1120,General,24.94,1.17,1.25,0.0,23.77,CAD,captured,0,,2025-09-16T12:08:00
pi_166130566,1120,Student,15.36,0.84,0.77,0.0,14.52,CAD,captured,0,,2025-09-18T22:39:00
pi_855742431,1120,Senior,19.97,1.0,1.0,0.0,18.97,CAD,captured,0,,2025-09-01T11:36:00
pi_317029298,1120,Senior,17.73,0.92,0.89,0.0,16.81,CAD,captured,0,,2025-09-17T03:14:00
pi_474831129,1120,General,26.14,1.21,1.31,0.0,24.93,CAD,captured,0,,2025-09-12T13:08:00
pi_828045112,1120,General,27.98,1.28,1.4,0.0,26.7,CAD,captured,0,,2025-09-13T05:31:00
pi_945571179,1120,Student,18.62,0.95,0.93,0.0,17.67,CAD,captured,0,,2025-09-18T22:08:00
pi_423300006,1120,General,28.62,1.3,1.43,0.0,27.32,CAD,captured,0,,2025-09-08T06:16:00
pi_835681939,1120,Student,14.63,0.81,0.73,0.0,13.82,CAD,captured,0,,2025-09-14T14:48:00
pi_868600197,1120,Student,14.39,0.8,0.72,0.0,13.59,CAD,captured,0,,2025-09-05T21:02:00
pi_608465140,1120,Senior,17.88,0.93,0.89,2.68,14.27,CAD,captured,0,,2025-09-10T15:38:00
pi_826682213,1120,VIP,61.17,2.44,3.06,0.0,58.73,CAD,captured,0,,2025-09-07T15:41:00
pi_974620114,1120,General,26.76,1.24,1.34,0.0,25.52,CAD,captured,0,,2025-09-17T06:16:00
pi_203207214,1120,Student,17.23,0.9,0.86,0.0,16.33,CAD,captured,0,,2025-09-11T00:59:00
pi_914396355,1120,VIP,0.0,0.0,0.0,0.0,-51.95,CAD,refunded,1,pi_412439407,2025-09-09T09:06:00
pi_592325968,1120,VIP,60.52,2.42,3.03,0.0,58.1,CAD,captured,0,,2025-09-07T22:08:00
pi_207359440,1120,Senior,20.45,1.02,1.02,0.0,19.43,CAD,captured,0,,2025-09-18T14:48:00
pi_986736056,1120,VIP,57.83,2.32,2.89,0.0,55.51,CAD,captured,0,,2025-09-06T05:29:00
pi_395984423,1121,Senior,16.83,0.89,0.84,0.0,15.94,CAD,captured,0,,2025-05-08T18:49:00
pi_684065414,1121,VIP,59.12,2.37,2.96,0.0,56.75,CAD,captured,0,,2025-05-23T12:50:00
pi_299658519,1121,VIP,59.3,2.38,2.97,0.0,56.92,CAD,captured,0,,2025-05-07T01:24:00
pi_795183762,1121,VIP,57.77,2.32,2.89,0.0,55.45,CAD,captured,0,,2025-05-11T23:24:00
pi_752536836,1121,Senior,16.82,0.89,0.84,2.52,13.41,CAD,captured,0,,2025-05-18T13:16:00
pi_924185718,1121,Student,14.82,0.82,0.74,0.0,14.0,CAD,captured,0,,2025-05-21T06:50:00
pi_462487434,1121,VIP,62.84,2.5,3.14,0.0,60.34,CAD,captured,0,,2025-05-23T02:03:00
pi_276296213,1121,Student,14.52,0.81,0.73,2.18,11.53,CAD,captured,0,,2025-05-22T02:38:00
pi_371087731,1121,Student,13.07,0.76,0.65,0.0,12.31,CAD,captured,0,,2025-05-13T00:15:00
pi_497129861,1121,Student,15.94,0.86,0.8,0.0,15.08,CAD,captured,0,,2025-05-05T22:31:00
pi_270438808,1121,General,26.47,1.23,1.32,0.0,25.24,CAD,captured,0,,2025-05-05T06:55:00
pi_299785544,1121,General,24.64,1.16,1.23,0.0,23.48,CAD,captured,0,,2025-05-21T02:38:00
pi_219173850,1121,Student,15.03,0.83,0.75,0.0,14.2,CAD,captured,0,,2025-05-21T04:10:00
pi_863627134,1121,General,26.86,1.24,1.34,0.0,25.62,CAD,captured,0,,2025-05-14T19:36:00
pi_596006890,1121,VIP,60.25,2.41,3.01,0.0,57.84,CAD,captured,0,,2025-05-08T15:38:00
pi_796747659,1121,VIP,57.8,2.32,2.89,0.0,55.48,CAD,captured,0,,2025-05-18T07:28:00
pi_784016173,1121,Senior,18.0,0.93,0.9,0.0,17.07,CAD,captured,0,,2025-05-06T10:36:00
pi_324700685,1121,VIP,61.43,2.45,3.07,0.0,58.98,CAD,captured,0,,2025-05-21T05:02:00
pi_371329905,1121,General,23.82,1.13,1.19,0.0,22.69,CAD,captured,0,,2025-05-22T18:26:00
pi_498811677,1121,Student,19.02,0.97,0.95,2.85,15.2,CAD,captured,0,,2025-05-17T12:01:00
pi_389219825,1121,Senior,15.62,0.85,0.78,0.0,14.77,CAD,captured,0,,2025-05-09T23:50:00
pi_649117866,1121,Senior,19.18,0.97,0.96,0.0,18.21,CAD,captured,0,,2025-05-16T12:10:00
pi_701332874,1121,Senior,19.39,0.98,0.97,0.0,18.41,CAD,captured,0,,2025-05-16T18:27:00
pi_724916155,1121,Student,15.31,0.84,0.77,0.0,14.47,CAD,captured,0,,2025-05-17T15:13:00
pi_414432953,1121,Student,0.0,0.0,0.0,0.0,-15.54,CAD,refunded,1,pi_744466754,2025-05-07T07:54:00
pi_653626429,1121,Senior,16.43,0.87,0.82,0.0,15.56,CAD,captured,0,,2025-05-16T11:28:00
pi_432945456,1121,Student,17.41,0.91,0.87,0.0,16.5,CAD,captured,0,,2025-05-22T23:40:00
pi_955386840,1121,General,25.24,1.18,1.26,0.0,24.06,CAD,captured,0,,2025-05-14T22:23:00
pi_574324239,1121,Senior,18.09,0.93,0.9,0.0,17.16,CAD,captured,0,,2025-05-17T22:44:00
pi_420637545,1121,Senior,16.13,0.86,0.81,0.0,15.27,CAD,captured,0,,2025-05-14T05:11:00
pi_483406830,1121,Senior,18.54,0.95,0.93,0.0,17.59,CAD,captured,0,,2025-05-13T17:09:00
pi_267317151,1121,Student,13.33,0.77,0.67,2.0,10.56,CAD,captured,0,,2025-05-21T18:39:00
pi_539320734,1121,General,0.0,0.0,0.0,0.0,-24.14,CAD,refunded,1,pi_645120246,2025-05-09T09:15:00
pi_780598916,1121,Senior,17.56,0.91,0.88,0.0,16.65,CAD,captured,0,,2025-05-20T13:55:00
pi_905030346,1121,Student,13.01,0.76,0.65,0.0,12.25,CAD,captured,0,,2025-05-14T08:54:00
pi_677653334,1121,Student,14.33,0.8,0.72,0.0,13.53,CAD,captured,0,,2025-05-17T17:02:00
pi_743594046,1121,General,22.96,1.1,1.15,0.0,21.86,CAD,captured,0,,2025-05-17T00:07:00
pi_318691649,1121,General,25.07,1.18,1.25,0.0,23.89,CAD,captured,0,,2025-05-13T00:27:00
pi_618201107,1121,VIP,59.58,2.39,2.98,0.0,57.19,CAD,captured,0,,2025-05-04T23:15:00
pi_397163106,1121,General,22.89,1.1,1.14,0.0,21.79,CAD,captured,0,,2025-05-21T10:00:00
pi_461502503,1121,VIP,62.3,2.48,3.11,0.0,59.82,CAD,captured,0,,2025-05-10T05:10:00
pi_535409850,1121,Senior,19.48,0.98,0.97,2.92,15.58,CAD,captured,0,,2025-05-19T12:08:00
pi_528723483,1121,General,0.0,0.0,0.0,0.0,-23.53,CAD,refunded,1,pi_408147684,2025-05-12T15:27:00
pi_358711493,1121,VIP,61.94,2.47,3.1,0.0,59.47,CAD,captured,0,,2025-05-10T10:13:00
pi_185349419,1121,Student,15.93,0.86,0.8,0.0,15.07,CAD,captured,0,,2025-05-23T01:29:00
pi_153058796,1121,VIP,62.5,2.49,3.13,0.0,60.01,CAD,captured,0,,2025-05-11T04:48:00
pi_339783193,1121,Student,11.83,0.71,0.59,0.0,11.12,CAD,captured,0,,2025-05-05T20:00:00
pi_534435057,1121,General,24.51,1.16,1.23,0.0,23.35,CAD,captured,0,,2025-05-15T03:12:00
pi_787924723,1121,General,24.73,1.17,1.24,0.0,23.56,CAD,captured,0,,2025-05-15T15:19:00
pi_847118697,1121,Senior,18.19,0.94,0.91,0.0,17.25,CAD,captured,0,,2025-05-20T11:58:00
pi_157306874,1121,General,23.52,1.12,1.18,0.0,22.4,CAD,captured,0,,2025-05-17T01:58:00
pi_767046849,1121,VIP,63.65,2.53,3.18,0.0,61.12,CAD,captured,0,,2025-05-18T00:52:00
pi_801810056,1121,Senior,18.16,0.94,0.91,0.0,17.22,CAD,captured,0,,2025-05-21T16:41:00
pi_133553158,1121,Senior,17.29,0.91,0.86,0.0,16.38,CAD,captured,0,,2025-05-11T11:01:00
pi_779369526,1121,Senior,17.44,0.91,0.87,0.0,16.53,CAD,captured,0,,2025-05-19T02:15:00
pi_826813146,1121,VIP,59.2,2.37,2.96,8.88,47.95,CAD,captured,0,,2025-05-15T22:31:00
pi_355529071,1121,VIP,59.19,2.37,2.96,0.0,56.82,CAD,captured,0,,2025-05-15T06:30:00
pi_974296263,1121,VIP,60.19,2.41,3.01,0.0,57.78,CAD,captured,0,,2025-05-14T03:13:00
pi_780555180,1121,General,20.85,1.03,1.04,0.0,19.82,CAD,captured,0,,2025-05-17T16:27:00
pi_644958031,1121,VIP,59.67,2.39,2.98,8.95,48.33,CAD,captured,0,,2025-05-21T19:35:00
pi_712368852,1121,Student,15.21,0.83,0.76,0.0,14.38,CAD,captured,0,,2025-05-05T15:28:00
pi_538098361,1121,General,24.03,1.14,1.2,0.0,22.89,CAD,captured,0,,2025-05-18T11:00:00
pi_521844172,1121,General,22.63,1.09,1.13,0.0,21.54,CAD,captured,0,,2025-05-23T13:52:00
pi_326289994,1121,Student,14.9,0.82,0.74,0.0,14.08,CAD,captured,0,,2025-05-07T09:47:00
pi_938127444,1121,Senior,20.69,1.02,1.03,0.0,19.67,CAD,captured,0,,2025-05-16T12:55:00
pi_328930916,1121,Senior,16.1,0.86,0.8,0.0,15.24,CAD,captured,0,,2025-05-20T07:48:00
pi_800057330,1121,VIP,60.24,2.41,3.01,0.0,57.83,CAD,captured,0,,2025-05-12T10:34:00
pi_639675107,1121,Senior,20.16,1.01,1.01,0.0,19.15,CAD,captured,0,,2025-05-06T22:06:00
pi_571064204,1121,Senior,17.95,0.93,0.9,0.0,17.02,CAD,captured,0,,2025-05-07T23:39:00
pi_263856403,1121,Senior,19.61,0.99,0.98,0.0,18.62,CAD,captured,0,,2025-05-19T01:42:00
pi_231390511,1121,Student,14.89,0.82,0.74,0.0,14.07,CAD,captured,0,,2025-05-12T03:25:00
pi_743560305,1121,Student,16.27,0.87,0.81,0.0,15.4,CAD,captured,0,,2025-05-23T08:10:00
pi_879551011,1121,Senior,15.34,0.84,0.77,0.0,14.5,CAD,captured,0,,2025-05-15T13:53:00
pi_701145204,1121,VIP,58.46,2.35,2.92,8.77,47.34,CAD,captured,0,,2025-05-19T18:51:00
pi_836475665,1121,VIP,61.12,2.44,3.06,0.0,58.68,CAD,captured,0,,2025-05-23T09:57:00
pi_823048783,1121,Student,12.98,0.75,0.65,0.0,12.23,CAD,captured,0,,2025-05-05T06:53:00
pi_580941151,1121,Senior,13.33,0.77,0.67,0.0,12.56,CAD,captured,0,,2025-05-06T11:10:00
pi_222227535,1121,Student,12.26,0.73,0.61,0.0,11.53,CAD,captured,0,,2025-05-09T13:08:00
pi_393204517,1121,Senior,17.6,0.92,0.88,0.0,16.68,CAD,captured,0,,2025-05-18T10:35:00
pi_158411975,1121,Student,12.68,0.74,0.63,1.9,10.04,CAD,captured,0,,2025-05-19T19:43:00
pi_162729447,1121,Senior,19.82,0.99,0.99,0.0,18.83,CAD,captured,0,,2025-05-16T23:13:00
pi_728959425,1121,Senior,15.12,0.83,0.76,2.27,12.02,CAD,captured,0,,2025-05-15T12:16:00
pi_496072015,1121,General,24.19,1.15,1.21,0.0,23.04,CAD,captured,0,,2025-05-17T17:24:00
pi_387761252,1121,Senior,14.8,0.82,0.74,0.0,13.98,CAD,captured,0,,2025-05-08T05:44:00
pi_723554151,1121,VIP,60.61,2.42,3.03,0.0,58.19,CAD,captured,0,,2025-05-21T19:39:00
pi_538707322,1121,General,24.99,1.17,1.25,0.0,23.82,CAD,captured,0,,2025-05-20T15:10:00
pi_752351303,1121,Student,0.0,0.0,0.0,0.0,-14.94,CAD,refunded,1,pi_397762707,2025-05-13T00:51:00
pi_392006012,1121,Senior,17.42,0.91,0.87,0.0,16.51,CAD,captured,0,,2025-05-05T19:51:00
pi_738035189,1121,General,23.31,1.12,1.17,0.0,22.19,CAD,captured,0,,2025-05-09T09:12:00
pi_328951392,1121,Student,18.24,0.94,0.91,0.0,17.3,CAD,captured,0,,2025-05-18T12:47:00
pi_575206316,1121,General,25.74,1.2,1.29,0.0,24.54,CAD,captured,0,,2025-05-09T18:10:00
pi_464800965,1121,Student,16.89,0.89,0.84,0.0,16.0,CAD,captured,0,,2025-05-19T05:57:00
pi_949959128,1121,Senior,15.38,0.84,0.77,0.0,14.54,CAD,captured,0,,2025-05-22T23:48:00
pi_269429336,1121,VIP,58.51,2.35,2.93,0.0,56.16,CAD,captured,0,,2025-05-17T08:23:00
pi_508330301,1121,Student,14.87,0.82,0.74,0.0,14.05,CAD,captured,0,,2025-05-11T05:10:00
pi_205353187,1121,Senior,14.63,0.81,0.73,0.0,13.82,CAD,captured,0,,2025-05-06T15:21:00
pi_376648064,1121,Student,12.18,0.73,0.61,0.0,11.45,CAD,captured,0,,2025-05-19T14:05:00
pi_803066655,1121,Student,16.53,0.88,0.83,0.0,15.65,CAD,captured,0,,2025-05-14T23:08:00
pi_190991366,1121,General,24.76,1.17,1.24,0.0,23.59,CAD,captured,0,,2025-05-16T08:57:00
pi_197912165,1121,General,24.48,1.16,1.22,0.0,23.32,CAD,captured,0,,2025-05-08T19:00:00
pi_302337480,1121,Student,15.95,0.86,0.8,0.0,15.09,CAD,captured,0,,2025-05-14T02:20:00
pi_802611110,1121,Student,13.79,0.78,0.69,2.07,10.94,CAD,captured,0,,2025-05-20T13:26:00
pi_832532437,1121,Senior,18.78,0.96,0.94,0.0,17.82,CAD,captured,0,,2025-05-18T23:04:00
pi_274314454,1121,VIP,61.16,2.44,3.06,0.0,58.72,CAD,captured,0,,2025-05-14T14:14:00
pi_941426065,1121,Student,14.71,0.81,0.74,0.0,13.9,CAD,captured,0,,2025-05-17T15:35:00
pi_223586072,1121,General,27.13,1.25,1.36,0.0,25.88,CAD,captured,0,,2025-05-18T23:52:00
pi_834023938,1121,VIP,63.19,2.51,3.16,9.48,51.2,CAD,captured,0,,2025-05-13T13:53:00
pi_346304944,1121,General,28.83,1.31,1.44,4.32,23.2,CAD,captured,0,,2025-05-07T14:00:00
pi_531768710,1121,VIP,59.71,2.39,2.99,0.0,57.32,CAD,captured,0,,2025-05-06T15:24:00
pi_972575778,1121,Student,13.36,0.77,0.67,0.0,12.59,CAD,captured,0,,2025-05-16T15:08:00
pi_532922082,1121,Student,13.79,0.78,0.69,0.0,13.01,CAD,captured,0,,2025-05-13T13:05:00
pi_814953659,1121,Student,12.11,0.72,0.61,0.0,11.39,CAD,captured,0,,2025-05-09T20:58:00
pi_977425323,1121,Senior,17.76,0.92,0.89,0.0,16.84,CAD,captured,0,,2025-05-16T07:36:00
pi_131270161,1121,VIP,59.04,2.37,2.95,8.86,47.81,CAD,captured,0,,2025-05-07T21:27:00
pi_582983552,1121,General,26.54,1.23,1.33,3.98,21.33,CAD,captured,0,,2025-05-09T16:40:00
